@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

car,4,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,149,21,0,87.647059,12.352941,0,0.716734,0.102563,0.217291,44.582253,64.276275,204.579912,74.10031,130.479603,1.203411,0.435884,0.767527,127.816741,0.751863,10476.502998,0.966387,115,0.156863,8,0.843137,43,0.033613,4,0.934959,0.966387,0.950413,0.986983,0.876471,0.131818,0.868182,0.123529,0.886893,0.876471,0.866814,0.97942,0.001,0.002,0,0,4773,133255,17060,?
car,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,144,27,0,84.210526,15.789474,0,0.639212,0.122923,0.235457,53.242675,69.370892,206.73301,88.239105,118.493905,1.208965,0.516018,0.692947,112.838698,0.659875,9253.419552,0.94958,113,0.192308,10,0.807692,42,0.05042,6,0.918699,0.94958,0.933884,0.983193,0.842105,0.163201,0.836799,0.157895,0.859135,0.842105,0.825779,0.976074,0,0.002,0,0,4773,133170,17145,?
car,5,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,149,22,0,87.134503,12.865497,0,0.708259,0.11244,0.225501,48.702109,66.437699,206.73301,82.064667,124.668342,1.208965,0.47991,0.729055,120.600799,0.705268,9889.9563,0.957983,114,0.173077,9,0.826923,43,0.042017,5,0.926829,0.957983,0.942149,0.983355,0.871345,0.142907,0.857093,0.128655,0.880129,0.871345,0.864113,0.977536,0.001,0.002,0,0.015625,4773,133170,17145,?
car,5,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,150,21,0,87.719298,12.280702,0,0.731675,0.112397,0.223255,48.581522,65.620943,209.272262,79.291971,129.980292,1.223814,0.463696,0.760119,126.337399,0.738815,10374.432999,0.941176,112,0.134615,7,0.865385,45,0.058824,7,0.941176,0.941176,0.941176,0.977699,0.877193,0.11565,0.88435,0.122807,0.881647,0.877193,0.876021,0.974379,0.001,0.002,0,0,4773,133170,17145,?
car,5,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,153,18,0,89.473684,10.526316,0,0.766429,0.106165,0.216343,45.888097,63.589413,209.272262,75.769529,133.502734,1.223814,0.443097,0.780718,130.459617,0.762922,10712.936687,0.966387,115,0.096154,5,0.903846,47,0.033613,4,0.958333,0.966387,0.962343,0.988688,0.894737,0.088635,0.911365,0.105263,0.908202,0.894737,0.887059,0.984742,0.001,0.002,0,0,4773,133170,17145,?
car,5,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,152,19,0,88.888889,11.111111,0,0.753322,0.109938,0.218781,47.518859,64.305937,209.272262,77.831037,131.441225,1.223814,0.455152,0.768662,127.330184,0.744621,10455.957444,0.957983,114,0.153846,8,0.846154,44,0.042017,5,0.934426,0.957983,0.946058,0.989657,0.888889,0.124021,0.875979,0.111111,0.887153,0.888889,0.885871,0.982757,0.001,0.002,0,0,4773,133170,17145,?
car,5,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,139,32,0,81.28655,18.71345,0,0.568862,0.116494,0.23456,50.352726,68.943817,209.272262,85.071868,124.200394,1.223814,0.497496,0.726318,120.533991,0.704877,9897.875247,0.941176,112,0.269231,14,0.730769,38,0.058824,7,0.888889,0.941176,0.914286,0.968003,0.812865,0.216013,0.783987,0.187135,0.807765,0.812865,0.80097,0.961306,0.001,0.001,0,0,4773,133170,17145,?
car,5,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,141,30,0,82.45614,17.54386,0,0.592986,0.119693,0.235588,51.735446,69.245835,209.272262,87.043269,122.228993,1.223814,0.509025,0.714789,117.487951,0.687064,9647.743943,0.966387,115,0.269231,14,0.730769,38,0.033613,4,0.891473,0.966387,0.927419,0.975275,0.824561,0.208408,0.791592,0.175439,0.820674,0.824561,0.812407,0.965488,0.001,0.002,0,0,4773,133170,17145,?
car,5,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,148,22,0,87.058824,12.941176,0,0.710616,0.11488,0.226789,49.936385,67.085671,204.579912,82.221608,122.358304,1.203411,0.483657,0.719755,118.571016,0.697477,9718.676917,0.94958,113,0.156863,8,0.843137,43,0.05042,6,0.933884,0.94958,0.941667,0.976767,0.870588,0.129152,0.870848,0.129412,0.858915,0.870588,0.863028,0.973664,0.001,0.002,0,0,4773,133255,17060,?
car,5,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,146,24,0,85.882353,14.117647,0,0.686033,0.110006,0.223022,47.917288,66.127559,202.144461,79.010553,123.133908,1.189085,0.464768,0.724317,119.262895,0.701546,9762.674818,0.932773,111,0.137255,7,0.862745,44,0.067227,8,0.940678,0.932773,0.936709,0.97858,0.858824,0.124313,0.875687,0.141176,0.86273,0.858824,0.853439,0.971222,0.001,0.001,0,0.015625,4773,133255,17060,?
